RT(milliseconds),RT(minutes) - NOT USED BY IMPORT,RI,TIC
0,0.0,0.0,269792.0
320,0.005333333333333333,0.0,267932.0
640,0.010666666666666666,0.0,266743.0
960,0.016,0.0,275793.0
1280,0.021333333333333333,0.0,267149.0
1600,0.02666666666666667,0.0,268994.0
1920,0.032,0.0,270676.0
2240,0.037333333333333336,0.0,272700.0
2560,0.042666666666666665,0.0,271638.0
2880,0.048,0.0,270470.0
3200,0.05333333333333334,0.0,270213.0
3520,0.058666666666666666,0.0,271954.0
3840,0.064,0.0,271176.0
4160,0.06933333333333333,0.0,269932.0
4480,0.07466666666666667,0.0,271029.0
4800,0.08,0.0,273513.0
5120,0.08533333333333333,0.0,274282.0
5440,0.09066666666666667,0.0,276318.0
5760,0.096,0.0,276207.0
6080,0.10133333333333333,0.0,275809.0
6400,0.10666666666666667,0.0,284847.0
6720,0.112,0.0,290907.0
7040,0.11733333333333333,0.0,290924.0
7360,0.12266666666666666,0.0,291064.0
7680,0.128,0.0,294522.0
8000,0.13333333333333333,0.0,299249.0
8320,0.13866666666666666,0.0,301611.0
8640,0.144,0.0,303367.0
8960,0.14933333333333335,0.0,306807.0
9280,0.15466666666666667,0.0,310006.0
9600,0.16,0.0,311241.0
9920,0.16533333333333333,0.0,312673.0
10240,0.17066666666666666,0.0,315645.0
10560,0.176,0.0,318330.0
10880,0.18133333333333335,0.0,321684.0
11200,0.18666666666666668,0.0,323151.0
11520,0.192,0.0,324697.0
11840,0.19733333333333333,0.0,326067.0
12160,0.20266666666666666,0.0,328630.0
12480,0.208,0.0,329374.0
12800,0.21333333333333335,0.0,330223.0
13120,0.21866666666666668,0.0,333314.0
13440,0.224,0.0,335370.0
13760,0.22933333333333333,0.0,337537.0
14080,0.23466666666666666,0.0,339083.0
14400,0.24,0.0,338910.0
14720,0.24533333333333332,0.0,339010.0
15040,0.25066666666666665,0.0,341923.0
15360,0.256,0.0,343144.0
15680,0.2613333333333333,0.0,342014.0
16000,0.26666666666666666,0.0,342310.0
16320,0.272,0.0,344806.0
16640,0.2773333333333333,0.0,346818.0
16960,0.2826666666666667,0.0,347827.0
17280,0.288,0.0,347607.0
17600,0.29333333333333333,0.0,347029.0
17920,0.2986666666666667,0.0,348658.0
18240,0.304,0.0,350116.0
18560,0.30933333333333335,0.0,349886.0
18880,0.31466666666666665,0.0,350515.0
19200,0.32,0.0,352113.0
19520,0.3253333333333333,0.0,353445.0
19840,0.33066666666666666,0.0,353413.0
20160,0.336,0.0,352351.0
20480,0.3413333333333333,0.0,353018.0
20800,0.3466666666666667,0.0,354997.0
21120,0.352,0.0,356492.0
21440,0.35733333333333334,0.0,357472.0
21760,0.3626666666666667,0.0,356770.0
22080,0.368,0.0,357700.0
22400,0.37333333333333335,0.0,358520.0
22720,0.37866666666666665,0.0,359213.0
23040,0.384,0.0,358392.0
23360,0.3893333333333333,0.0,360529.0
23680,0.39466666666666667,0.0,359553.0
24000,0.4,0.0,359086.0
24320,0.4053333333333333,0.0,361923.0
24640,0.4106666666666667,0.0,361592.0
24960,0.416,0.0,361864.0
25280,0.42133333333333334,0.0,362120.0
25600,0.4266666666666667,0.0,361123.0
25920,0.432,0.0,363057.0
26240,0.43733333333333335,0.0,362676.0
26560,0.44266666666666665,0.0,361925.0
26880,0.448,0.0,362581.0
27200,0.4533333333333333,0.0,364856.0
27520,0.45866666666666667,0.0,365661.0
