RT(milliseconds),RT(minutes) - NOT USED BY IMPORT,RI,TIC
0,0.0,0.0,270669.0
320,0.005333333333333333,0.0,270811.0
640,0.010666666666666666,0.0,270659.0
960,0.016,0.0,273488.0
1280,0.021333333333333333,0.0,269606.0
1600,0.02666666666666667,0.0,269709.0
1920,0.032,0.0,271806.0
2240,0.037333333333333336,0.0,273185.0
2560,0.042666666666666665,0.0,272891.0
2880,0.048,0.0,271922.0
3200,0.05333333333333334,0.0,272078.0
3520,0.058666666666666666,0.0,273045.0
3840,0.064,0.0,273689.0
4160,0.06933333333333333,0.0,274883.0
4480,0.07466666666666667,0.0,275577.0
4800,0.08,0.0,275971.0
5120,0.08533333333333333,0.0,277324.0
5440,0.09066666666666667,0.0,280222.0
5760,0.096,0.0,281128.0
6080,0.10133333333333333,0.0,283004.0
6400,0.10666666666666667,0.0,286826.0
6720,0.112,0.0,290618.0
7040,0.11733333333333333,0.0,292545.0
7360,0.12266666666666666,0.0,294036.0
7680,0.128,0.0,296672.0
8000,0.13333333333333333,0.0,301697.0
8320,0.13866666666666666,0.0,302480.0
8640,0.144,0.0,303731.0
8960,0.14933333333333335,0.0,306969.0
9280,0.15466666666666667,0.0,309063.0
9600,0.16,0.0,313012.0
9920,0.16533333333333333,0.0,315633.0
10240,0.17066666666666666,0.0,315790.0
10560,0.176,0.0,319258.0
10880,0.18133333333333335,0.0,321800.0
11200,0.18666666666666668,0.0,323389.0
11520,0.192,0.0,325558.0
11840,0.19733333333333333,0.0,327149.0
12160,0.20266666666666666,0.0,329352.0
12480,0.208,0.0,332264.0
12800,0.21333333333333335,0.0,333333.0
13120,0.21866666666666668,0.0,334201.0
13440,0.224,0.0,335776.0
13760,0.22933333333333333,0.0,335063.0
14080,0.23466666666666666,0.0,336532.0
14400,0.24,0.0,339918.0
14720,0.24533333333333332,0.0,341797.0
15040,0.25066666666666665,0.0,341907.0
15360,0.256,0.0,344575.0
15680,0.2613333333333333,0.0,343755.0
16000,0.26666666666666666,0.0,346019.0
16320,0.272,0.0,347119.0
16640,0.2773333333333333,0.0,348562.0
