RT(milliseconds),RT(minutes) - NOT USED BY IMPORT,RI,TIC
0,0.0,0.0,269600.0
320,0.005333333333333333,0.0,268935.0
640,0.010666666666666666,0.0,268714.0
960,0.016,0.0,271399.0
1280,0.021333333333333333,0.0,267252.0
1600,0.02666666666666667,0.0,267045.0
1920,0.032,0.0,271062.0
2240,0.037333333333333336,0.0,270054.0
2560,0.042666666666666665,0.0,270224.0
2880,0.048,0.0,270659.0
3200,0.05333333333333334,0.0,269388.0
3520,0.058666666666666666,0.0,270580.0
3840,0.064,0.0,273376.0
4160,0.06933333333333333,0.0,272101.0
4480,0.07466666666666667,0.0,273416.0
4800,0.08,0.0,275061.0
5120,0.08533333333333333,0.0,275089.0
5440,0.09066666666666667,0.0,277395.0
5760,0.096,0.0,280443.0
6080,0.10133333333333333,0.0,282561.0
6400,0.10666666666666667,0.0,284677.0
6720,0.112,0.0,287801.0
7040,0.11733333333333333,0.0,290398.0
7360,0.12266666666666666,0.0,293669.0
7680,0.128,0.0,295509.0
8000,0.13333333333333333,0.0,298017.0
8320,0.13866666666666666,0.0,300712.0
8640,0.144,0.0,303439.0
8960,0.14933333333333335,0.0,304544.0
9280,0.15466666666666667,0.0,307432.0
9600,0.16,0.0,310730.0
9920,0.16533333333333333,0.0,313271.0
10240,0.17066666666666666,0.0,315864.0
10560,0.176,0.0,318056.0
10880,0.18133333333333335,0.0,319428.0
11200,0.18666666666666668,0.0,322092.0
11520,0.192,0.0,325080.0
11840,0.19733333333333333,0.0,325974.0
12160,0.20266666666666666,0.0,327659.0
12480,0.208,0.0,330125.0
12800,0.21333333333333335,0.0,331737.0
13120,0.21866666666666668,0.0,331571.0
13440,0.224,0.0,334075.0
13760,0.22933333333333333,0.0,335949.0
14080,0.23466666666666666,0.0,336621.0
14400,0.24,0.0,338409.0
14720,0.24533333333333332,0.0,339272.0
15040,0.25066666666666665,0.0,341711.0
15360,0.256,0.0,342142.0
15680,0.2613333333333333,0.0,343203.0
16000,0.26666666666666666,0.0,344703.0
16320,0.272,0.0,345743.0
16640,0.2773333333333333,0.0,347730.0
16960,0.2826666666666667,0.0,347901.0
17280,0.288,0.0,348956.0
17600,0.29333333333333333,0.0,350596.0
17920,0.2986666666666667,0.0,349947.0
18240,0.304,0.0,351320.0
18560,0.30933333333333335,0.0,351727.0
18880,0.31466666666666665,0.0,351500.0
19200,0.32,0.0,353440.0
19520,0.3253333333333333,0.0,355369.0
19840,0.33066666666666666,0.0,356083.0
20160,0.336,0.0,356908.0
20480,0.3413333333333333,0.0,358070.0
20800,0.3466666666666667,0.0,358253.0
21120,0.352,0.0,357200.0
21440,0.35733333333333334,0.0,358267.0
21760,0.3626666666666667,0.0,358179.0
22080,0.368,0.0,359455.0
22400,0.37333333333333335,0.0,359587.0
22720,0.37866666666666665,0.0,360439.0
23040,0.384,0.0,361700.0
23360,0.3893333333333333,0.0,361662.0
23680,0.39466666666666667,0.0,362057.0
24000,0.4,0.0,362886.0
24320,0.4053333333333333,0.0,362370.0
24640,0.4106666666666667,0.0,364071.0
24960,0.416,0.0,363733.0
25280,0.42133333333333334,0.0,363868.0
25600,0.4266666666666667,0.0,364984.0
25920,0.432,0.0,363477.0
26240,0.43733333333333335,0.0,363692.0
26560,0.44266666666666665,0.0,364423.0
26880,0.448,0.0,365531.0
27200,0.4533333333333333,0.0,365127.0
27520,0.45866666666666667,0.0,364938.0
27840,0.464,0.0,365573.0
28160,0.4693333333333333,0.0,366432.0
28480,0.4746666666666667,0.0,366084.0
28800,0.48,0.0,366692.0
29120,0.48533333333333334,0.0,366820.0
29440,0.49066666666666664,0.0,366619.0
29760,0.496,0.0,369187.0
30080,0.5013333333333333,0.0,369219.0
30400,0.5066666666666667,0.0,367712.0
30720,0.512,0.0,365472.0
31040,0.5173333333333333,0.0,364614.0
31360,0.5226666666666666,0.0,365527.0
31680,0.528,0.0,366820.0
32000,0.5333333333333333,0.0,367821.0
32320,0.5386666666666666,0.0,369252.0
32640,0.544,0.0,368956.0
32960,0.5493333333333333,0.0,365893.0
33280,0.5546666666666666,0.0,366129.0
33600,0.56,0.0,367921.0
33920,0.5653333333333334,0.0,368655.0
34240,0.5706666666666667,0.0,368871.0
34560,0.576,0.0,370108.0
34880,0.5813333333333334,0.0,367927.0
35200,0.5866666666666667,0.0,368672.0
35520,0.592,0.0,369039.0
35840,0.5973333333333334,0.0,367963.0
36160,0.6026666666666667,0.0,369892.0
36480,0.608,0.0,370842.0
36800,0.6133333333333333,0.0,370007.0
37120,0.6186666666666667,0.0,369536.0
37440,0.624,0.0,370153.0
37760,0.6293333333333333,0.0,371658.0
38080,0.6346666666666667,0.0,370359.0
38400,0.64,0.0,372841.0
38720,0.6453333333333333,0.0,373308.0
39040,0.6506666666666666,0.0,370935.0
39360,0.656,0.0,371490.0
39680,0.6613333333333333,0.0,371516.0
40000,0.6666666666666666,0.0,371058.0
40320,0.672,0.0,371909.0
40640,0.6773333333333333,0.0,373048.0
40960,0.6826666666666666,0.0,373526.0
41280,0.688,0.0,373093.0
41600,0.6933333333333334,0.0,374893.0
41920,0.6986666666666667,0.0,372830.0
42240,0.704,0.0,371293.0
42560,0.7093333333333334,0.0,372644.0
42880,0.7146666666666667,0.0,372077.0
43200,0.72,0.0,373521.0
43520,0.7253333333333334,0.0,373159.0
43840,0.7306666666666667,0.0,372620.0
44160,0.736,0.0,374839.0
44480,0.7413333333333333,0.0,375147.0
44800,0.7466666666666667,0.0,374763.0
45120,0.752,0.0,376266.0
45440,0.7573333333333333,0.0,375131.0
45760,0.7626666666666667,0.0,374559.0
46080,0.768,0.0,376613.0
46400,0.7733333333333333,0.0,376827.0
46720,0.7786666666666666,0.0,374444.0
47040,0.784,0.0,374965.0
47360,0.7893333333333333,0.0,376396.0
47680,0.7946666666666666,0.0,376436.0
48000,0.8,0.0,375510.0
48320,0.8053333333333333,0.0,376339.0
48640,0.8106666666666666,0.0,376032.0
48960,0.816,0.0,376470.0
49280,0.8213333333333334,0.0,376247.0
49600,0.8266666666666667,0.0,376272.0
49920,0.832,0.0,376418.0
50240,0.8373333333333334,0.0,376174.0
50560,0.8426666666666667,0.0,376345.0
50880,0.848,0.0,376530.0
51200,0.8533333333333334,0.0,376564.0
51520,0.8586666666666667,0.0,376973.0
51840,0.864,0.0,376695.0
52160,0.8693333333333333,0.0,377190.0
52480,0.8746666666666667,0.0,379054.0
52800,0.88,0.0,379191.0
53120,0.8853333333333333,0.0,378398.0
53440,0.8906666666666667,0.0,379391.0
53760,0.896,0.0,376917.0
54080,0.9013333333333333,0.0,375677.0
54400,0.9066666666666666,0.0,376476.0
54720,0.912,0.0,377828.0
55040,0.9173333333333333,0.0,377873.0
55360,0.9226666666666666,0.0,378791.0
55680,0.928,0.0,379658.0
56000,0.9333333333333333,0.0,378704.0
56320,0.9386666666666666,0.0,377748.0
56640,0.944,0.0,378222.0
56960,0.9493333333333334,0.0,379237.0
57280,0.9546666666666667,0.0,378552.0
57600,0.96,0.0,379366.0
57920,0.9653333333333334,0.0,379753.0
58240,0.9706666666666667,0.0,379223.0
58560,0.976,0.0,378647.0
