RT(milliseconds),RT(minutes) - NOT USED BY IMPORT,RI,TIC
0,0.0,0.0,270532.0
320,0.005333333333333333,0.0,269231.0
640,0.010666666666666666,0.0,269091.0
960,0.016,0.0,275435.0
1280,0.021333333333333333,0.0,266637.0
1600,0.02666666666666667,0.0,267750.0
1920,0.032,0.0,271568.0
2240,0.037333333333333336,0.0,272649.0
2560,0.042666666666666665,0.0,270773.0
2880,0.048,0.0,270808.0
3200,0.05333333333333334,0.0,272007.0
3520,0.058666666666666666,0.0,270454.0
3840,0.064,0.0,270184.0
4160,0.06933333333333333,0.0,270557.0
4480,0.07466666666666667,0.0,271960.0
4800,0.08,0.0,272354.0
5120,0.08533333333333333,0.0,273021.0
5440,0.09066666666666667,0.0,274312.0
5760,0.096,0.0,278494.0
6080,0.10133333333333333,0.0,280670.0
6400,0.10666666666666667,0.0,282713.0
6720,0.112,0.0,285198.0
7040,0.11733333333333333,0.0,288803.0
7360,0.12266666666666666,0.0,291032.0
7680,0.128,0.0,292225.0
8000,0.13333333333333333,0.0,295528.0
8320,0.13866666666666666,0.0,298949.0
8640,0.144,0.0,301334.0
8960,0.14933333333333335,0.0,304177.0
9280,0.15466666666666667,0.0,307557.0
9600,0.16,0.0,308493.0
9920,0.16533333333333333,0.0,308606.0
10240,0.17066666666666666,0.0,311519.0
10560,0.176,0.0,315121.0
10880,0.18133333333333335,0.0,317509.0
11200,0.18666666666666668,0.0,319349.0
11520,0.192,0.0,321907.0
11840,0.19733333333333333,0.0,325663.0
12160,0.20266666666666666,0.0,324924.0
12480,0.208,0.0,325560.0
12800,0.21333333333333335,0.0,329071.0
13120,0.21866666666666668,0.0,332589.0
13440,0.224,0.0,334122.0
13760,0.22933333333333333,0.0,332915.0
14080,0.23466666666666666,0.0,334444.0
14400,0.24,0.0,337794.0
14720,0.24533333333333332,0.0,338814.0
15040,0.25066666666666665,0.0,339511.0
15360,0.256,0.0,341751.0
15680,0.2613333333333333,0.0,343348.0
16000,0.26666666666666666,0.0,343768.0
16320,0.272,0.0,343811.0
16640,0.2773333333333333,0.0,345486.0
16960,0.2826666666666667,0.0,346719.0
17280,0.288,0.0,346710.0
17600,0.29333333333333333,0.0,346460.0
