RT(milliseconds),RT(minutes) - NOT USED BY IMPORT,RI,TIC
0,0.0,0.0,271055.0
320,0.005333333333333333,0.0,270013.0
640,0.010666666666666666,0.0,266827.0
960,0.016,0.0,274149.0
1280,0.021333333333333333,0.0,265351.0
1600,0.02666666666666667,0.0,266927.0
1920,0.032,0.0,270764.0
2240,0.037333333333333336,0.0,270348.0
2560,0.042666666666666665,0.0,270019.0
2880,0.048,0.0,270436.0
3200,0.05333333333333334,0.0,270545.0
3520,0.058666666666666666,0.0,270807.0
3840,0.064,0.0,272093.0
4160,0.06933333333333333,0.0,272066.0
4480,0.07466666666666667,0.0,271848.0
4800,0.08,0.0,273887.0
5120,0.08533333333333333,0.0,276195.0
5440,0.09066666666666667,0.0,277074.0
5760,0.096,0.0,278727.0
6080,0.10133333333333333,0.0,280829.0
6400,0.10666666666666667,0.0,283440.0
6720,0.112,0.0,286105.0
7040,0.11733333333333333,0.0,290413.0
7360,0.12266666666666666,0.0,291585.0
7680,0.128,0.0,293896.0
8000,0.13333333333333333,0.0,296471.0
8320,0.13866666666666666,0.0,298596.0
8640,0.144,0.0,301437.0
8960,0.14933333333333335,0.0,305514.0
9280,0.15466666666666667,0.0,308407.0
9600,0.16,0.0,310912.0
9920,0.16533333333333333,0.0,313277.0
10240,0.17066666666666666,0.0,314489.0
10560,0.176,0.0,316605.0
10880,0.18133333333333335,0.0,319753.0
11200,0.18666666666666668,0.0,322618.0
11520,0.192,0.0,324922.0
11840,0.19733333333333333,0.0,325941.0
12160,0.20266666666666666,0.0,326567.0
12480,0.208,0.0,328673.0
12800,0.21333333333333335,0.0,331249.0
13120,0.21866666666666668,0.0,333319.0
13440,0.224,0.0,335302.0
13760,0.22933333333333333,0.0,334566.0
14080,0.23466666666666666,0.0,335673.0
14400,0.24,0.0,338195.0
14720,0.24533333333333332,0.0,340008.0
15040,0.25066666666666665,0.0,340982.0
15360,0.256,0.0,343502.0
15680,0.2613333333333333,0.0,344464.0
16000,0.26666666666666666,0.0,343839.0
16320,0.272,0.0,344995.0
16640,0.2773333333333333,0.0,345959.0
16960,0.2826666666666667,0.0,346893.0
17280,0.288,0.0,349441.0
17600,0.29333333333333333,0.0,349973.0
17920,0.2986666666666667,0.0,348450.0
18240,0.304,0.0,348354.0
18560,0.30933333333333335,0.0,348448.0
18880,0.31466666666666665,0.0,350170.0
19200,0.32,0.0,351804.0
19520,0.3253333333333333,0.0,353702.0
19840,0.33066666666666666,0.0,353152.0
20160,0.336,0.0,353807.0
20480,0.3413333333333333,0.0,354021.0
20800,0.3466666666666667,0.0,354255.0
21120,0.352,0.0,356276.0
21440,0.35733333333333334,0.0,357532.0
21760,0.3626666666666667,0.0,358110.0
22080,0.368,0.0,357272.0
22400,0.37333333333333335,0.0,357467.0
22720,0.37866666666666665,0.0,358119.0
23040,0.384,0.0,359131.0
23360,0.3893333333333333,0.0,361097.0
23680,0.39466666666666667,0.0,362664.0
24000,0.4,0.0,359944.0
24320,0.4053333333333333,0.0,358481.0
24640,0.4106666666666667,0.0,359788.0
24960,0.416,0.0,361012.0
25280,0.42133333333333334,0.0,362847.0
25600,0.4266666666666667,0.0,361583.0
25920,0.432,0.0,362352.0
26240,0.43733333333333335,0.0,362679.0
26560,0.44266666666666665,0.0,362529.0
26880,0.448,0.0,362825.0
27200,0.4533333333333333,0.0,361898.0
27520,0.45866666666666667,0.0,362671.0
27840,0.464,0.0,364394.0
28160,0.4693333333333333,0.0,363124.0
28480,0.4746666666666667,0.0,363250.0
28800,0.48,0.0,363861.0
29120,0.48533333333333334,0.0,365844.0
29440,0.49066666666666664,0.0,365853.0
29760,0.496,0.0,364972.0
30080,0.5013333333333333,0.0,365104.0
30400,0.5066666666666667,0.0,364131.0
30720,0.512,0.0,365812.0
31040,0.5173333333333333,0.0,367487.0
31360,0.5226666666666666,0.0,366547.0
31680,0.528,0.0,366366.0
32000,0.5333333333333333,0.0,367401.0
32320,0.5386666666666666,0.0,366683.0
32640,0.544,0.0,366104.0
32960,0.5493333333333333,0.0,368042.0
33280,0.5546666666666666,0.0,367478.0
33600,0.56,0.0,366340.0
33920,0.5653333333333334,0.0,366011.0
34240,0.5706666666666667,0.0,366529.0
34560,0.576,0.0,368377.0
34880,0.5813333333333334,0.0,368432.0
35200,0.5866666666666667,0.0,369620.0
35520,0.592,0.0,368772.0
35840,0.5973333333333334,0.0,367416.0
36160,0.6026666666666667,0.0,368374.0
36480,0.608,0.0,369164.0
36800,0.6133333333333333,0.0,369017.0
37120,0.6186666666666667,0.0,369921.0
37440,0.624,0.0,369129.0
37760,0.6293333333333333,0.0,369374.0
38080,0.6346666666666667,0.0,369243.0
38400,0.64,0.0,369090.0
38720,0.6453333333333333,0.0,370679.0
39040,0.6506666666666666,0.0,368951.0
39360,0.656,0.0,368888.0
39680,0.6613333333333333,0.0,370045.0
40000,0.6666666666666666,0.0,369978.0
40320,0.672,0.0,370450.0
40640,0.6773333333333333,0.0,370865.0
40960,0.6826666666666666,0.0,370143.0
41280,0.688,0.0,370984.0
41600,0.6933333333333334,0.0,371074.0
41920,0.6986666666666667,0.0,371397.0
42240,0.704,0.0,371984.0
42560,0.7093333333333334,0.0,372696.0
42880,0.7146666666666667,0.0,372012.0
43200,0.72,0.0,371245.0
43520,0.7253333333333334,0.0,371087.0
43840,0.7306666666666667,0.0,371206.0
44160,0.736,0.0,372459.0
44480,0.7413333333333333,0.0,374068.0
44800,0.7466666666666667,0.0,373023.0
45120,0.752,0.0,371973.0
45440,0.7573333333333333,0.0,371485.0
45760,0.7626666666666667,0.0,371710.0
46080,0.768,0.0,372386.0
46400,0.7733333333333333,0.0,373979.0
46720,0.7786666666666666,0.0,373244.0
47040,0.784,0.0,371336.0
47360,0.7893333333333333,0.0,372665.0
47680,0.7946666666666666,0.0,373949.0
48000,0.8,0.0,375001.0
48320,0.8053333333333333,0.0,374861.0
48640,0.8106666666666666,0.0,374203.0
48960,0.816,0.0,374009.0
49280,0.8213333333333334,0.0,376032.0
49600,0.8266666666666667,0.0,376010.0
49920,0.832,0.0,373500.0
50240,0.8373333333333334,0.0,373690.0
50560,0.8426666666666667,0.0,373850.0
50880,0.848,0.0,375309.0
51200,0.8533333333333334,0.0,376587.0
51520,0.8586666666666667,0.0,374989.0
51840,0.864,0.0,374388.0
52160,0.8693333333333333,0.0,374327.0
52480,0.8746666666666667,0.0,373603.0
52800,0.88,0.0,375781.0
53120,0.8853333333333333,0.0,375201.0
53440,0.8906666666666667,0.0,375523.0
53760,0.896,0.0,374937.0
54080,0.9013333333333333,0.0,374391.0
54400,0.9066666666666666,0.0,375148.0
54720,0.912,0.0,375934.0
55040,0.9173333333333333,0.0,375878.0
55360,0.9226666666666666,0.0,375681.0
55680,0.928,0.0,375598.0
56000,0.9333333333333333,0.0,375288.0
56320,0.9386666666666666,0.0,375639.0
56640,0.944,0.0,376427.0
56960,0.9493333333333334,0.0,375418.0
57280,0.9546666666666667,0.0,375546.0
57600,0.96,0.0,376175.0
57920,0.9653333333333334,0.0,376198.0
58240,0.9706666666666667,0.0,375633.0
58560,0.976,0.0,375352.0
58880,0.9813333333333333,0.0,374970.0
59200,0.9866666666666667,0.0,374824.0
59520,0.992,0.0,375889.0
59840,0.9973333333333333,0.0,376235.0
60160,1.0026666666666666,0.0,375258.0
60480,1.008,0.0,374782.0
60800,1.0133333333333334,0.0,375208.0
61120,1.0186666666666666,0.0,377449.0
61440,1.024,0.0,375379.0
61760,1.0293333333333334,0.0,375318.0
62080,1.0346666666666666,0.0,376740.0
62400,1.04,0.0,376132.0
62720,1.0453333333333332,0.0,375450.0
63040,1.0506666666666666,0.0,376140.0
63360,1.056,0.0,378444.0
63680,1.0613333333333332,0.0,378230.0
64000,1.0666666666666667,0.0,375735.0
64320,1.072,0.0,375770.0
64640,1.0773333333333333,0.0,376090.0
64960,1.0826666666666667,0.0,375817.0
65280,1.088,0.0,378006.0
65600,1.0933333333333333,0.0,377041.0
65920,1.0986666666666667,0.0,375502.0
66240,1.104,0.0,376494.0
66560,1.1093333333333333,0.0,376521.0
66880,1.1146666666666667,0.0,376698.0
67200,1.12,0.0,377451.0
67520,1.1253333333333333,0.0,376666.0
67840,1.1306666666666667,0.0,376283.0
68160,1.136,0.0,376461.0
68480,1.1413333333333333,0.0,377047.0
68800,1.1466666666666667,0.0,377360.0
69120,1.152,0.0,376727.0
69440,1.1573333333333333,0.0,377154.0
69760,1.1626666666666667,0.0,377481.0
70080,1.168,0.0,378092.0
70400,1.1733333333333333,0.0,378186.0
